SNo,Name,County,Population(2012 est.),Population-2010,Land area
1,Aberdeen,Grays Harbor,16529,16896,10.65 sq mi (27.6km2)
2,Airway Heights,Spokane,6363,6114,5.63 sq mi (14.6km2)
3,Algona,King,3074,3014,1.29 sq mi (3.3km2)
4,Anacortes,Skagit,15928,15778,11.75 sq mi (30.4km2)
5,Arlington,Snohomish,18317,17926,9.25 sq mi (24.0km2)
6,Asotin,Asotin,1270,1251,1.05 sq mi (2.7km2)
7,Auburn,King,73505,70180,29.62 sq mi (76.7km2)
,,Pierce,,,
8,Bainbridge Island,Kitsap,23263,23025,27.61 sq mi (71.5km2)
9,Battle Ground,Clark,18044,17571,7.16 sq mi (18.5km2)
10,Bellevue,King,"1,26,439","1,22,363",31.97 sq mi (82.8km2)
11,Bellingham,Whatcom,82234,80885,27.08 sq mi (70.1km2)
12,Benton City,Benton,3134,3038,2.46 sq mi (6.4km2)
13,Bingen,Klickitat,724,712,0.62 sq mi (1.6km2)
14,Black Diamond,King,4237,4151,6.01 sq mi (15.6km2)
15,Blaine,Whatcom,4744,4684,5.63 sq mi (14.6km2)
16,Bonney Lake,Pierce,17964,17374,7.94 sq mi (20.6km2)
17,Bothell,King,34651,33505,12.11 sq mi (31.4km2)
,,Snohomish,,,
18,Bremerton,Kitsap,39251,37729,28.41 sq mi (73.6km2)
19,Brewster,Okanogan,2386,2370,1.19 sq mi (3.1km2)
20,Bridgeport,Douglas,2444,2409,1.05 sq mi (2.7km2)
21,Brier,Snohomish,6251,6087,2.13 sq mi (5.5km2)
22,Buckley,Pierce,4402,4354,3.87 sq mi (10.0km2)
23,Burien,King,49410,33313,7.42 sq mi (19.2km2)
24,Burlington,Skagit,8470,8388,4.26 sq mi (11.0km2)
25,Camas,Clark,20490,19355,13.49 sq mi (34.9km2)
26,Carnation,King,1823,1786,1.16 sq mi (3.0km2)
27,Cashmere,Chelan,3104,3063,1.03 sq mi (2.7km2)
28,Castle Rock,Cowlitz,1983,1982,1.59 sq mi (4.1km2)
29,Centralia,Lewis,16505,16336,7.42 sq mi (19.2km2)
30,Chehalis,Lewis,7298,7259,5.53 sq mi (14.3km2)
31,Chelan,Chelan,3945,3890,6.29 sq mi (16.3km2)
32,Cheney,Spokane,11018,10590,4.27 sq mi (11.1km2)
33,Chewelah,Stevens,2606,2607,2.98 sq mi (7.7km2)
34,Clarkston,Asotin,7283,7229,2.01 sq mi (5.2km2)
35,Cle Elum,Kittitas,1907,1872,3.82 sq mi (9.9km2)
36,Clyde Hill,King,3047,2984,1.06 sq mi (2.7km2)
37,Colfax,Whitman,2839,2805,3.79 sq mi (9.8km2)
38,College Place,Walla Walla,8884,8765,2.66 sq mi (6.9km2)
39,Colville,Stevens,4669,4673,2.93 sq mi (7.6km2)
40,Connell,Franklin,5421,4209,7.87 sq mi (20.4km2)
41,Cosmopolis,Grays Harbor,1643,1649,1.33 sq mi (3.4km2)
42,Covington,King,18298,17575,5.86 sq mi (15.2km2)
43,Davenport,Lincoln,1718,1734,1.82 sq mi (4.7km2)
44,Dayton,Columbia,2509,2526,1.43 sq mi (3.7km2)
45,Deer Park,Spokane,3673,3652,6.88 sq mi (17.8km2)
46,Des Moines,King,30449,29673,6.50 sq mi (16.8km2)
