name,frequency
Smith,0.01006
Johnson,0.008100000000000001
Williams,0.00699
Jones,0.00621
Brown,0.00621
Davis,0.0048
Miller,0.00424
Wilson,0.0033900000000000002
Moore,0.00312
Taylor,0.00311
Anderson,0.00311
Thomas,0.00311
Jackson,0.0031
White,0.0027900000000000004
Harris,0.0027500000000000003
Martin,0.0027300000000000002
Thompson,0.00269
Garcia,0.00254
Martinez,0.00234
Robinson,0.00233
Clark,0.00231
Rodriguez,0.00229
Lewis,0.00226
Lee,0.0022
Walker,0.00219
Hall,0.002
Allen,0.00199
Young,0.00193
Hernandez,0.00192
King,0.0019
Wright,0.00189
Lopez,0.00187
Hill,0.00187
Scott,0.00185
Green,0.00183
Adams,0.0017399999999999998
Baker,0.0017100000000000001
Gonzalez,0.00166
Nelson,0.0016200000000000001
Carter,0.0016200000000000001
Mitchell,0.0016
Perez,0.00155
Roberts,0.00153
Turner,0.0015199999999999999
Phillips,0.00149
Campbell,0.00149
Parker,0.00146
Evans,0.0014099999999999998
Edwards,0.0013700000000000001
Collins,0.00134
Stewart,0.00133
Sanchez,0.0013
Morris,0.00125
Rogers,0.00123
Reed,0.00122
Cook,0.0012
Morgan,0.0011799999999999998
Bell,0.00117
Murphy,0.00117
Bailey,0.00115
Rivera,0.00113
Cooper,0.00113
Richardson,0.0011200000000000001
Cox,0.0011
Howard,0.0011
Ward,0.00108
Torres,0.00108
Peterson,0.00107
Gray,0.00106
Ramirez,0.00105
James,0.00105
Watson,0.0010299999999999999
Brooks,0.0010299999999999999
Kelly,0.0010199999999999999
Sanders,0.001
Price,0.00099
Bennett,0.00099
Wood,0.00098
Barnes,0.00097
Ross,0.00096
Henderson,0.00095
Coleman,0.00095
Jenkins,0.00095
Perry,0.00094
Powell,0.0009299999999999999
Long,0.00092
Patterson,0.00092
Hughes,0.00092
Flores,0.00092
Washington,0.00092
Butler,0.00091
Simmons,0.00091
Foster,0.00091
Gonzales,0.0008699999999999999
Bryant,0.0008699999999999999
Alexander,0.0008500000000000001
Russell,0.0008500000000000001
Griffin,0.00084
Diaz,0.00084
Hayes,0.00083
Myers,0.00083
Ford,0.00082
Hamilton,0.00082
Graham,0.00082
Sullivan,0.0008100000000000001
Wallace,0.0008100000000000001
Woods,0.0008
Cole,0.0008
West,0.0008
Jordan,0.00078
Owens,0.00078
Reynolds,0.00078
Fisher,0.00077
Ellis,0.00077
Harrison,0.0007599999999999999
Gibson,0.00075
Mcdonald,0.00075
Cruz,0.00075
Marshall,0.00075
Ortiz,0.00075
Gomez,0.00075
Murray,0.00074
Freeman,0.00074
