company_code,s_order_date,customer_id
US001,2021-03-08,UAX831
US001,2021-03-13,GHH451
US001,2021-03-21,WTM769
US001,2021-03-27,BXR236
US001,2021-03-21,QBJ911
US001,2021-03-06,LBI957
US001,2021-03-26,DXH964
US001,2021-03-14,ATA884
US001,2021-03-26,CDG300
US001,2021-03-06,JIN708
US001,2021-03-21,KAE577
US001,2021-03-08,RWX683
US001,2021-03-06,CFD413
US001,2021-03-22,MUT297
US001,2021-03-27,TXD813
US001,2021-03-06,JOW950
US001,2021-03-24,JBD733
US001,2021-03-22,OPV519
US001,2021-03-30,HBA640
US001,2021-03-19,YQG470
US001,2021-03-25,UZE789
US001,2021-03-22,MVZ207
US001,2021-03-17,FRB258
US001,2021-03-09,GIG029
US001,2021-03-04,UYD614
US001,2021-03-05,ZQP456
US001,2021-03-19,RRQ136
US001,2021-03-13,RKD462
US001,2021-03-28,FEF296
US001,2021-03-16,CVJ388
US001,2021-03-25,TZD978
US001,2021-03-10,WXJ521
US001,2021-03-03,JVF462
US001,2021-03-18,XDA706
US001,2021-03-11,ZQW955
US001,2021-03-19,PUJ688
US001,2021-03-18,JDZ920
US001,2021-03-22,FRB263
US001,2021-03-30,PEM980
US001,2021-03-23,CVF813
US001,2021-03-03,VOO887
US001,2021-03-27,DTP536
US001,2021-03-15,JQZ952
US001,2021-03-11,MIZ191
US001,2021-03-23,ASW495
US001,2021-03-10,KZU974
US001,2021-03-08,FPX727
US001,2021-03-23,KQM278
US001,2021-03-23,OKH618
US001,2021-03-22,XQW427
US001,2021-03-29,UVC970
US001,2021-03-04,AOG687
US001,2021-03-03,RNY831
US001,2021-03-06,EGH901
US001,2021-03-29,TWX973
US001,2021-03-07,DJW994
US001,2021-03-05,RBQ718
US001,2021-03-27,ITO771
US001,2021-03-25,ZOF900
US001,2021-03-10,UFE938
US001,2021-03-21,PXZ339
US001,2021-03-10,PCL515
US001,2021-03-03,INR599
US001,2021-03-08,FCO905
US001,2021-03-18,HLC481
US001,2021-03-03,CFG221
US001,2021-03-28,KBV901
US001,2021-03-01,DGU391
US001,2021-03-17,LTI917
US001,2021-03-20,SXY869
US001,2021-03-08,PGA835
US001,2021-03-29,QQJ689
US001,2021-03-15,OAM014
US001,2021-03-05,KZI299
US001,2021-03-16,RJU006
US001,2021-03-30,SOU413
US001,2021-03-01,WQY373
US001,2021-03-24,ZTV495
US001,2021-03-09,QVB422
US001,2021-03-27,SWD721
US001,2021-03-03,VXQ942
US001,2021-03-21,EIJ951
US001,2021-03-21,VQR704
US001,2021-03-30,ZEW450
US001,2021-03-06,LSG177
US001,2021-03-28,RBW334
US001,2021-03-25,VRW636
US001,2021-03-14,EJA465
US001,2021-03-30,KXD981
US001,2021-03-22,MGE019
US001,2021-03-29,OIA717
US001,2021-03-08,QAJ626
US001,2021-03-08,EBO001
US001,2021-03-02,TQC720
US001,2021-03-03,ECT545
US001,2021-03-04,NXO929
US001,2021-03-24,VNY879
US001,2021-03-02,OFP617
US001,2021-03-09,YHA321
US001,2021-03-09,EGW432
US001,2021-03-10,RPR806
US001,2021-03-10,UEV472
US001,2021-03-01,IOU382
US001,2021-03-18,ZGM422
US001,2021-03-16,HZR714
US001,2021-03-16,MGB667
US001,2021-03-06,JOH944
US001,2021-03-04,YFW564
US001,2021-03-19,ZPK150
US001,2021-03-13,CPA458
US001,2021-03-22,SEN322
US001,2021-03-22,DGB876
US001,2021-03-20,CZN597
US001,2021-03-01,CNE945
US001,2021-03-07,VNS273
US001,2021-03-17,QSW967
US001,2021-03-23,MUV717
US001,2021-03-11,GHR358
US001,2021-03-13,GFV394
US001,2021-03-06,PQC870
US001,2021-03-11,XGX363
US001,2021-03-25,NHX251
US001,2021-03-05,AVV310
US001,2021-03-13,KKI892
US001,2021-03-14,KSG232
US001,2021-03-04,JJP011
US001,2021-03-03,YHK578
US001,2021-03-18,XUP277
US001,2021-03-22,XIC245
US001,2021-03-13,DAA263
US001,2021-03-29,PBL550
US001,2021-03-19,HYN144
US001,2021-03-09,ATJ049
US001,2021-03-21,BIQ704
US001,2021-03-08,VPQ733
US001,2021-03-06,FDY178
US001,2021-03-10,JZI766
US001,2021-03-17,QVC153
US001,2021-03-26,CCD002
US001,2021-03-20,IEX131
US001,2021-03-03,PHK686
US001,2021-03-23,WHZ161
US001,2021-03-03,PZC528
US001,2021-03-01,LZL285
US001,2021-03-01,QKY941
US001,2021-03-26,WFN263
US001,2021-03-12,KDW475
US001,2021-03-05,ZLF096
US001,2021-03-17,HPD607
US001,2021-03-30,KQD714
US001,2021-03-29,ZJN948
US001,2021-03-17,YOQ005
US001,2021-03-05,PAJ380
US001,2021-03-16,ACW958
US001,2021-03-12,VNE193
US001,2021-03-01,QMP395
US001,2021-03-15,KPC616
US001,2021-03-16,TNT661
US001,2021-03-01,QYA393
US001,2021-03-03,JDV742
US001,2021-03-01,PAZ204
US001,2021-03-23,YNJ699
US001,2021-03-20,KSD892
US001,2021-03-19,CYA319
US001,2021-03-11,FGR298
US001,2021-03-17,YYP770
US001,2021-03-27,JCM604
US001,2021-03-11,AZM653
US001,2021-03-17,VUZ312
US001,2021-03-09,YBF271
US001,2021-03-17,VHE908
US001,2021-03-20,ZJU357
US001,2021-03-26,HWE121
US001,2021-03-29,JTH735
US001,2021-03-08,OBZ207
US001,2021-03-29,KSG580
US001,2021-03-07,NOM451
US001,2021-03-20,GFB334
US001,2021-03-27,JML351
US001,2021-03-08,VTH369
US001,2021-03-29,BDS730
US001,2021-03-03,EEH717
US001,2021-03-07,JHO981
US001,2021-03-12,DUA546
US001,2021-03-13,WMD234
US001,2021-03-18,CBD045
US001,2021-03-07,QBZ490
US001,2021-03-03,IFT844
US001,2021-03-16,UQS749
US001,2021-03-28,JPK502
US001,2021-03-15,GEM878
US001,2021-03-11,KHU688
US001,2021-03-10,ASE626
US001,2021-03-22,QTO259
US001,2021-03-22,UBD646
US001,2021-03-10,NIC935
US001,2021-03-29,YKT462
US001,2021-03-04,NIP115
US001,2021-03-20,QTT310
US001,2021-03-22,ZZO408
US001,2021-03-15,DGQ849
US001,2021-03-30,LHP444
US001,2021-03-27,PWZ179
US001,2021-03-21,URE401
US001,2021-03-11,CTC681
US001,2021-03-13,EOI144
US001,2021-03-15,SKA834
US001,2021-03-11,RUT680
US001,2021-03-21,HBL532
US001,2021-03-01,LLK679
US001,2021-03-13,DSN437
US001,2021-03-08,KDW475
US001,2021-03-08,TLY112
US001,2021-03-30,BCQ866
US001,2021-03-25,IFZ442
US001,2021-03-25,ZGE596
US001,2021-03-30,ECC013
US001,2021-03-20,TBT620
US001,2021-03-29,HCY049
US001,2021-03-19,JTX438
US001,2021-03-28,QXX324
US001,2021-03-22,OXY842
US001,2021-03-25,ALC784
US001,2021-03-01,GGS533
US001,2021-03-02,OXZ595
US001,2021-03-09,BZB939
US001,2021-03-23,LHU050
US001,2021-03-13,WYF286
US001,2021-03-24,GDL720
US001,2021-03-11,SOZ127
US001,2021-03-24,VOI416
US001,2021-03-10,GGP510
US001,2021-03-04,OPL985
US001,2021-03-19,SUP096
US001,2021-03-10,KMV758
US001,2021-03-20,EKV071
US001,2021-03-19,OJV584
US001,2021-03-01,HZE370
US001,2021-03-24,ZHA932
US001,2021-03-08,LXN582
US001,2021-03-09,OJF873
US001,2021-03-16,FMP518
US001,2021-03-03,VQJ877
US001,2021-03-03,PLI430
US001,2021-03-17,BYO223
US001,2021-03-01,UIN602
US001,2021-03-06,CFX715
US001,2021-03-06,CXK625
US001,2021-03-26,DRP628
US001,2021-03-22,UNO800
US001,2021-03-08,MZJ414
US001,2021-03-29,FBU419
US001,2021-03-12,AGE036
US001,2021-03-13,ZYC958
US001,2021-03-20,MNY362
US001,2021-03-17,DGA621
US001,2021-03-09,PBL550
US001,2021-03-28,JFC080
US001,2021-03-21,SZE278
US001,2021-03-28,ODF407
US001,2021-03-27,FYB841
US001,2021-03-18,NEX791
US001,2021-03-24,WSX599
US001,2021-03-18,VAW542
US001,2021-03-14,LHH748
US001,2021-03-14,YEO330
US001,2021-03-25,FQE859
US001,2021-03-29,XMN426
US001,2021-03-05,IUW274
US001,2021-03-14,YFS155
US001,2021-03-19,OPL985
US001,2021-03-21,EIG223
US001,2021-03-24,ETP427
US001,2021-03-23,ZKR810
US001,2021-03-12,HQS620
US001,2021-03-01,EMP172
US001,2021-03-10,HVP028
US001,2021-03-07,OEN615
US001,2021-03-12,JVK776
US001,2021-03-14,HIH490
US001,2021-03-25,SOV673
US001,2021-03-22,EZU804
US001,2021-03-04,PHI806
US001,2021-03-15,TXN323
US001,2021-03-10,VFQ767
US001,2021-03-15,ZQW955
US001,2021-03-11,FHL801
US001,2021-03-18,KQI010
US001,2021-03-15,QUS133
US001,2021-03-06,YKX657
US001,2021-03-11,ANE954
US001,2021-03-12,FZS860
US001,2021-03-04,OJQ593
US001,2021-03-29,JTJ430
US001,2021-03-07,JHQ570
US001,2021-03-15,KVD999
US001,2021-03-22,VLD413
US001,2021-03-05,KBX415
US001,2021-03-05,TBJ040
US001,2021-03-04,FLF042
US001,2021-03-07,RCF608
US001,2021-03-04,UGN330
US001,2021-03-07,BJK727
US001,2021-03-16,DPN604
US001,2021-03-23,CYM552
US001,2021-03-08,GGO174
US001,2021-03-09,XHS622
US001,2021-03-14,PYM441
US001,2021-03-20,KFP457
US001,2021-03-21,CVJ729
US001,2021-03-27,GFK700
US001,2021-03-02,OYR831
US001,2021-03-11,KHE048
US001,2021-03-06,PNK240
US001,2021-03-06,QFK955
US001,2021-03-08,STH481
US001,2021-03-13,PES365
US001,2021-03-03,EWT066
US001,2021-03-13,PRH417
US001,2021-03-21,MGC363
US001,2021-03-30,TNY494
US001,2021-03-20,LUG500
US001,2021-03-25,VHU613
US001,2021-03-13,TVP269
US001,2021-03-07,FUT590
US001,2021-03-13,JPK971
US001,2021-03-08,COW206
US001,2021-03-08,ODY887
US001,2021-03-15,YFD254
US001,2021-03-10,YAW280
US001,2021-03-24,DEG859
US001,2021-03-08,DYR403
US001,2021-03-01,ECU528
US001,2021-03-05,RGQ145
US001,2021-03-12,LFO622
US001,2021-03-22,PIP560
US001,2021-03-17,GPF901
US001,2021-03-07,SGL448
US001,2021-03-04,FNU541
US001,2021-03-08,VYE455
US001,2021-03-20,VAK338
US001,2021-03-19,NBZ460
US001,2021-03-12,GGE398
US001,2021-03-13,DJB902
US001,2021-03-28,QKK584
US001,2021-03-24,OHX473
US001,2021-03-24,RFM209
US001,2021-03-25,GRH693
US001,2021-03-16,VTT592
US001,2021-03-30,SNP529
US001,2021-03-21,ZGN480
US001,2021-03-13,MUR326
US001,2021-03-15,NVE809
US001,2021-03-25,YBR626
US001,2021-03-08,JZW346
US001,2021-03-05,DTX435
US001,2021-03-20,OJJ421
US001,2021-03-06,VYV709
US001,2021-03-26,UGL319
US001,2021-03-16,OSR654
US001,2021-03-21,IPO919
US001,2021-03-18,XKS691
US001,2021-03-30,NCU889
US001,2021-03-01,UAQ163
US001,2021-03-03,TQA086
US001,2021-03-01,PXJ317
US001,2021-03-02,ACB791
US001,2021-03-19,WEQ705
US001,2021-03-17,PLV252
US001,2021-03-07,ISW721
US001,2021-03-27,SNS900
US001,2021-03-13,ZNS388
US001,2021-03-26,PRB239
US001,2021-03-10,HZL634
US001,2021-03-11,EOT287
US001,2021-03-13,MXF437
US001,2021-03-29,SJA858
US001,2021-03-12,ROS735
US001,2021-03-05,AFK508
US001,2021-03-22,OCG121
US001,2021-03-25,MZO506
US001,2021-03-09,REH659
US001,2021-03-07,MZZ850
US001,2021-03-28,LNL118
US001,2021-03-20,KHD651
US001,2021-03-30,POJ659
US001,2021-03-24,MCR160
US001,2021-03-24,ESL671
US001,2021-03-28,BLN402
US001,2021-03-18,HJG920
US001,2021-03-14,YVC207
US001,2021-03-13,HZE426
US001,2021-03-20,LSV648
US001,2021-03-02,HAH053
US001,2021-03-08,PYL038
US001,2021-03-04,QAB645
US001,2021-03-09,PQA150
US001,2021-03-15,OYG827
US001,2021-03-02,DQU081
US001,2021-03-25,USY706
US001,2021-03-24,LXC720
US001,2021-03-17,ORY492
US001,2021-03-22,ZLS868
US001,2021-03-21,CTU613
US001,2021-03-01,VVK819
US001,2021-03-22,ERY903
US001,2021-03-06,IXX628
US001,2021-03-11,GKJ129
US001,2021-03-03,SIM817
US001,2021-03-27,PWE958
US001,2021-03-29,GIO900
US001,2021-03-17,LVO576
US001,2021-03-14,SNZ798
US001,2021-03-01,KNJ722
US001,2021-03-11,AHY235
US001,2021-03-22,ESH455
US001,2021-03-06,WOI782
US001,2021-03-07,KFJ208
US001,2021-03-21,UTL066
US001,2021-03-21,JHX708
US001,2021-03-16,JSZ731
US001,2021-03-23,SPX115
US001,2021-03-04,EWJ294
US001,2021-03-01,RVF233
US001,2021-03-20,QCV506
US001,2021-03-27,OQM458
US001,2021-03-22,PSZ460
US001,2021-03-06,DER013
US001,2021-03-21,HKG619
US001,2021-03-27,OTN447
US001,2021-03-12,XEZ515
US001,2021-03-19,OPA401
US001,2021-03-01,EWW117
US001,2021-03-04,LNO412
US001,2021-03-21,XUB402
US001,2021-03-03,PWI697
US001,2021-03-19,TNU350
US001,2021-03-05,HPS774
US001,2021-03-09,SKB529
US001,2021-03-20,DDQ021
US001,2021-03-22,GGE175
US001,2021-03-24,DRH016
US001,2021-03-01,DIM661
US001,2021-03-11,ZDO567
US001,2021-03-23,BHE346
US001,2021-03-27,LAD519
US001,2021-03-20,UOW869
US001,2021-03-24,CAQ410
US001,2021-03-18,HHX209
US001,2021-03-21,IPS286
US001,2021-03-24,SVX899
US001,2021-03-24,DYA363
US001,2021-03-07,OPA401
US001,2021-03-12,WVE120
US001,2021-03-01,YUQ731
US001,2021-03-22,EFA432
US001,2021-03-29,KET485
US001,2021-03-15,YPP913
US001,2021-03-01,IUD772
US001,2021-03-10,UPN607
US001,2021-03-13,VQI354
US001,2021-03-13,VFK898
US001,2021-03-08,EZB968
US001,2021-03-22,QGZ349
US001,2021-03-16,TUA347
US001,2021-03-25,JLF268
US001,2021-03-18,GPW896
US001,2021-03-30,DTJ825
US001,2021-03-28,AVW818
US001,2021-03-28,NWZ898
US001,2021-03-11,GJL390
US001,2021-03-03,CUC280
US001,2021-03-01,MJO893
US001,2021-03-15,UIZ305
US001,2021-03-14,QBJ047
US001,2021-03-03,TVI273
US001,2021-03-30,NTK795
US001,2021-03-13,TST241
US001,2021-03-30,RDA709
US001,2021-03-10,MJT577
US001,2021-03-06,XTE378
US001,2021-03-30,YVA627
US001,2021-03-17,KRI131
US001,2021-03-20,YMG904
US001,2021-03-21,WHI428
US001,2021-03-30,GQW138
US001,2021-03-24,AGE036
US001,2021-03-20,XTI602
US001,2021-03-25,ELM350
US001,2021-03-22,VFB450
US001,2021-03-19,OQM413
US001,2021-03-17,EUQ948
US001,2021-03-08,DXA967
US001,2021-03-30,APK609
US001,2021-03-13,RVK497
US001,2021-03-24,GVX194
US001,2021-03-17,AKP727
US001,2021-03-04,OJK415
US001,2021-03-16,YVU846
US001,2021-03-25,VUU066
US001,2021-03-03,PSV371
US001,2021-03-29,ONC052
US001,2021-03-19,LFO622
US001,2021-03-05,MIM555
US001,2021-03-27,XKI515
US001,2021-03-17,MLF244
US001,2021-03-05,FBL533
US001,2021-03-15,IJH649
US001,2021-03-06,ZJN385
US001,2021-03-22,TCU937
US001,2021-03-06,AGD303
US001,2021-03-08,YCF885
US001,2021-03-14,QAO158
US001,2021-03-15,WHI428
US001,2021-03-08,EWN331
US001,2021-03-28,DDJ131
US001,2021-03-03,LQI067
US001,2021-03-27,TVF590
US001,2021-03-13,LZL285
US001,2021-03-05,CJM009
US001,2021-03-04,SGD918
US001,2021-03-20,JNP862
US001,2021-03-06,NQZ201
US001,2021-03-26,FDK574
US001,2021-03-16,FQY093
US001,2021-03-26,EJR558
US001,2021-03-08,UOG096
US001,2021-03-09,BLJ538
US001,2021-03-15,TEL477
US001,2021-03-18,ZRI765
US001,2021-03-17,EGE609
US001,2021-03-09,TNM751
US001,2021-03-13,VWT276
US001,2021-03-29,EKI471
US001,2021-03-27,KLT777
US001,2021-03-08,UAF692
US001,2021-03-20,DJR592
US001,2021-03-10,BYC829
US001,2021-03-02,NIB354
US001,2021-03-02,AZJ281
US001,2021-03-17,QXQ445
US001,2021-03-14,CFI562
US001,2021-03-07,OKY698
US001,2021-03-30,XKI515
US001,2021-03-23,VRE896
US001,2021-03-18,RQJ236
US001,2021-03-23,TEQ666
US001,2021-03-22,LKS045
US001,2021-03-30,MBL611
US001,2021-03-04,ERC826
US001,2021-03-15,HDJ870
US001,2021-03-04,FOA334
US001,2021-03-05,WKB625
US001,2021-03-25,KTY817
US001,2021-03-26,LAV019
US001,2021-03-06,PCT738
US001,2021-03-27,SPP128
US001,2021-03-07,XCT062
US001,2021-03-29,DKS521
US001,2021-03-01,KHW392
US001,2021-03-06,BIY085
US001,2021-03-11,SNQ865
US001,2021-03-20,ZWS676
US001,2021-03-05,SQD159
US001,2021-03-28,FXS578
US001,2021-03-26,RUB407
US001,2021-03-13,YIG439
US001,2021-03-22,TKZ660
US001,2021-03-23,ABQ394
US001,2021-03-06,SQX179
US001,2021-03-08,JOI155
US001,2021-03-20,MDV572
US001,2021-03-25,XEZ618
US001,2021-03-28,EWW440
US001,2021-03-25,LXQ101
US001,2021-03-29,ORY492
US001,2021-03-29,NDF597
US001,2021-03-05,NGV819
US001,2021-03-07,FHV994
US001,2021-03-15,RCC126
US001,2021-03-08,XXW231
